page,token,pos,counts,cumulative_sum
102,see,VB,3,3
61,must,MD,3,7
212,wrong,JJ,3,3
64,upon,IN,3,15
247,ought,MD,3,3
20,upon,IN,3,18
33,coronet,NN,3,15
147,north,NN,3,6
205,said,VBD,3,25
248,far,RB,3,3
248,men,NNS,3,18
67,church,NN,3,3
125,one,CD,3,65
135,technical,JJ,3,3
147,south,NN,3,3
97,test,NN,3,3
38,government,NN,3,10
38,persuasion,NN,3,9
135,always,RB,3,6
97,good,JJ,3,18
97,bad,JJ,3,29
38,property,NN,3,3
147,personal,JJ,3,3
180,size,NN,3,3
67,upon,IN,3,21
147,pronoun,NN,3,3
38,private,JJ,3,3
17,last,JJ,3,3
248,may,MD,3,17
95,may,MD,3,20
96,history,NN,3,3
68,red,JJ,3,3
236,thing,NN,3,10
180,modern,JJ,3,7
180,old,JJ,3,3
204,could,MD,3,11
147,man,NN,3,36
137,aurelian,JJ,3,3
33,heart,NN,3,7
31,quite,RB,3,3
147,open,JJ,3,3
31,good,JJ,3,21
124,another,DT,3,6
208,written,VBN,3,10
98,would,MD,3,46
207,said,VBD,3,28
19,new,JJ,3,6
66,would,MD,3,49
231,slow,JJ,3,3
30,card,NN,3,3
207,difficult,JJ,3,3
120,battle,NN,3,3
30,little,JJ,3,21
98,written,VBN,3,13
148,accent,NN,3,3
247,process,NN,3,3
22,taught,VBN,3,3
65,saw,VBD,3,3
246,argument,NN,3,3
208,sir,NNP,3,6
207,people,NNS,3,11
238,duty,NN,3,3
97,amount,NN,3,3
98,ethic,NN,3,3
67,thing,NN,3,13
205,great,JJ,3,18
135,take,VB,3,8
31,said,VBD,3,31
161,last,JJ,3,6
205,one,CD,3,68
135,seriously,RB,3,3
31,god,NN,3,3
19,subject,NN,3,3
120,round,NN,3,3
206,said,VBD,3,34
66,one,CD,3,71
66,valley,NN,3,3
135,quite,RB,3,6
98,side,NN,3,3
228,edition,NN,3,3
104,line,NN,3,3
42,given,VBN,3,3
52,two,CD,3,12
31,reed,NN,3,3
52,learned,VBN,3,3
169,tyre,NNP,3,3
109,victim,NN,3,3
225,upon,IN,3,24
165,rule,NN,3,3
110,intelligence,NN,3,3
168,first,JJ,3,3
51,statement,NN,3,3
122,editor,NN,3,3
45,men,NNS,3,21
114,word,NN,3,17
241,time,NN,3,3
51,would,MD,3,52
239,case,NN,3,3
242,thought,VBD,3,3
122,paper,NN,3,3
45,matter,NN,3,6
164,steamer,NN,3,3
44,man,NN,3,39
242,could,MD,3,14
109,mood,NN,3,3
164,great,JJ,3,21
125,accuracy,NN,3,3
218,one,CD,3,74
109,thing,NN,3,16
219,said,VBD,3,37
180,one,CD,3,77
152,town,NN,3,6
25,would,MD,3,55
169,took,VBD,3,3
125,well,RB,3,7
237,human,JJ,3,3
